2026,學年,,,,,,,,,,,,Date:,2026/03/11,星期三,Sheet,Past day,EPS_003,EPS_004,Sum,Check,
掌握N4文法,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
基礎篇(尚昂)  ,HK$110,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N3文法(日),HK$110,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
完成篇(尚昂) ,HK$130,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N2文法(日版),HK$130,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1讀解(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1聽解(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1語彙(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1文法(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N3語彙(中),HK$30,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N2語彙(中),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,,,,,,,,
淺說 (一) ,HK$40 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
淺說 (二) ,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
學生証,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
入學試 / 補測 / 補考,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
補堂,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,HK$0 ,,,,HK$0 ,,,,HK$0 ,,,Sub-total:,0,,,,,,,,
,,,,,,,,,,Total:,,,,0,,,,,,,,
